ECG_R_Peaks,ECG_Q_Peaks,ECG_S_Peaks,ECG_R_Onsets,ECG_T_Peaks,ECG_P_Onsets,ECG_T_Onsets,ECG_R_Offsets,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_CVNN,HRV_LF,HRV_HF,HRV_LFHF,Label
10,10,10,10,10,10,10,10,24.295632895188717,1381.172839506173,19.082836894004572,0.013816400343368672,,,,1
12,12,12,12,12,12,12,12,501.73618319876454,1118.1818181818182,465.1950401334463,0.4160280846721877,,,,1
10,10,10,10,10,10,10,10,30.20633773740496,1349.3827160493827,22.938868781180584,0.016999527642045997,,,,1
10,10,10,10,10,10,10,10,57.66816525562972,1375.617283950617,42.23633211280231,0.03070354858547891,,,,1
11,11,11,11,11,11,11,11,28.508896885816082,1208.0555555555557,21.454724715549915,0.017759716940901286,,,,0
13,13,13,13,13,13,13,13,39.08679799852859,1066.2037037037037,38.3408961455851,0.0359601978612522,,,,0
16,16,16,16,16,16,16,16,243.54203016841635,861.1111111111111,187.36547202144828,0.21758570944426253,,,,0
10,10,10,10,10,10,10,10,115.56189886435662,1375.925925925926,98.93335454726734,0.07190311097647963,,,,0
9,9,9,9,9,9,9,9,68.45324361085136,1619.0972222222222,66.40885168417371,0.04101597530568739,,,,0
13,13,13,13,13,13,13,13,16.283473681973202,1059.4907407407409,16.727931729971488,0.015788653063901426,,,,1
13,13,13,13,13,13,13,13,83.92049040201913,1056.2499999999998,85.97761728148018,0.08139892760376824,,,,1
13,13,13,13,13,13,13,13,30.567031820957578,1062.2685185185185,33.59448067854825,0.031625224783466646,,,,1
11,11,11,11,11,11,11,11,260.943602692245,1216.388888888889,240.1183193141106,0.1974025918088144,,,,1
12,12,12,12,12,12,12,12,411.6456734788149,1193.4343434343432,350.6701536742042,0.29383279910068744,,,,1
10,10,10,10,10,10,10,10,434.2027425119955,1320.9876543209875,457.49104236135366,0.3463249946847631,,,,1
